DC_DIST,SECTOR,DISPATCH_DATE_TIME,DISPATCH_DATE,DISPATCH_TIME,HOUR,DC_KEY,LOCATION_BLOCK,UCR_GENERAL,OBJECTID,TEXT_GENERAL_CODE,POINT_X,POINT_Y,SHAPE
01,K,2006-01-16 17:10:00,2006-01-16,17:10:00,,200601002049,2200 BLOCK OREGON AVE,600,28746975,Thefts,-75.18555273,39.91857827,28693988
01,J,2006-01-16 23:36:00,2006-01-16,23:36:00,,200601002075,2300 BLOCK OREGON AVE,600,28737004,Thefts,-75.18605724,39.91874807,28684017
01,E,2006-01-17 05:55:00,2006-01-17,05:55:00,,200601002102,2600 BLOCK S HICKS ST,600,28742659,Theft from Vehicle,-75.1735194,39.91757915,28689672
01,J,2006-01-17 19:11:00,2006-01-17,19:11:00,,200601002170,2200 BLOCK S CROSKEY ST,600,28738957,Thefts,-75.18366266,39.92481912,28685970
01,G,2006-01-18 08:22:00,2006-01-18,08:22:00,,200601002233,S 15TH ST /OREGON,500,28767584,Burglary Non-Residential,-75.17302949,39.91697379,28714597
01,B,2006-01-18 10:38:00,2006-01-18,10:38:00,,200601002247,1800 BLOCK S 19TH ST,600,28745431,Theft from Vehicle,-75.17718975,39.927872550000004,28692444
01,A,2006-01-18 16:13:00,2006-01-18,16:13:00,,200601002286,1800 BLOCK S 16TH ST,300,28745465,Robbery No Firearm,-75.17238275,39.9276707,28692478
01,E,2006-01-19 02:40:00,2006-01-19,02:40:00,,200601002344,2300 BLOCK S CARLISLE ST,700,28764082,Motor Vehicle Theft,-75.17158527,39.92139405,28711095
01,G,2006-01-19 06:48:00,2006-01-19,06:48:00,,200601002355,2700 BLOCK S 15TH ST,600,28742660,Theft from Vehicle,-75.17308496,39.91697315,28689673
01,E,2006-01-19 06:47:00,2006-01-19,06:47:00,,200601002356,1700 BLOCK OREGON AV,600,28747237,Thefts,-75.17667854,39.91761963,28694250
01,C,2006-01-19 08:21:00,2006-01-19,08:21:00,,200601002357,2300 BLOCK MC CLELLAN ST,600,28745432,Theft from Vehicle,-75.18423038,39.92962549,28692445
01,I,2006-01-19 09:16:00,2006-01-19,09:16:00,,200601002359,3200 BLOCK S BROAD ST,400,28742984,Aggravated Assault No Firearm,-75.17322925,39.90991357,28689997
01,C,2006-01-19 08:57:00,2006-01-19,08:57:00,,200601002361,2200 BLOCK SNYDER AVE,700,28742939,Motor Vehicle Theft,-75.18277269,39.92602861,28689952
01,D,2006-01-19 09:38:00,2006-01-19,09:38:00,,200601002365,S 28TH ST & PASSY,700,28738021,Recovered Stolen Motor Vehicle,,,28685034
01,J,2006-01-19 17:32:00,2006-01-19,17:32:00,,200601002432,2700 BLOCK DALY TER,400,28742095,Aggravated Assault Firearm,-75.19094667,39.92456029,28689108
01,J,2006-01-20 02:00:00,2006-01-20,02:00:00,,200601002470,2400 BLOCK W PASSYUNK AV,700,28738022,Recovered Stolen Motor Vehicle,-75.18730912,39.92221434,28685035
01,J,2006-01-20 16:02:00,2006-01-20,16:02:00,,200601002521,2300 BLOCK S 24TH ST,300,28741668,Robbery Firearm,-75.18698896,39.92385001,28688681
01,J,2006-01-20 18:12:00,2006-01-20,18:12:00,,200601002539,2300 BLOCK S 25TH ST,700,28742940,Motor Vehicle Theft,-75.18844252,39.92423368,28689953
01,J,2006-01-20 18:39:00,2006-01-20,18:39:00,,200601002555,2200 BLOCK S BONSALL ST,300,28843080,Robbery No Firearm,-75.18555158,39.92395214,28790093
01,F,2006-01-20 22:24:00,2006-01-20,22:24:00,,200601002592,2200 BLOCK S NORWOOD ST,600,28744643,Theft from Vehicle,-75.18217293,39.92401356,28691656
01,J,2006-01-21 04:06:00,2006-01-21,04:06:00,,200601002626,S 24TH ST /W PASSYUNK AVE,300,28745466,Robbery No Firearm,-75.18727237,39.92226385,28692479
01,C,2006-01-21 10:47:00,2006-01-21,10:47:00,,200601002635,1800 BLOCK S 24TH ST,600,28749580,Thefts,-75.1855559,39.92896314,28696593
01,F,2006-01-21 09:18:00,2006-01-21,09:18:00,,200601002640,2100 BLOCK S GARNET ST,500,28737900,Burglary Residential,-75.17846943,39.9246096,28684913
01,B,2006-01-21 12:16:00,2006-01-21,12:16:00,,200601002644,1900 BLOCK DUDLEY ST,300,28745467,Robbery No Firearm,-75.17735856,39.92703401,28692480
01,B,2006-01-21 13:35:00,2006-01-21,13:35:00,,200601002650,1900 BLOCK NORWOOD ST,400,28744978,Aggravated Assault Firearm,-75.18123939,39.92832724,28691991
01,J,2006-01-21 14:47:00,2006-01-21,14:47:00,,200601002654,2200 BLOCK W PASSYUNK AV,600,28749581,Thefts,-75.18344302,39.92289644,28696594
01,J,2006-01-21 16:41:00,2006-01-21,16:41:00,,200601002675,2700 BLOCK WOLF ST,400,28745184,Aggravated Assault Firearm,-75.19058142,39.92416681,28692197
01,K,2006-01-21 17:00:00,2006-01-21,17:00:00,,200601002684,2200 BLOCK OREGON AVE,600,28742661,Theft from Vehicle,-75.18522687,39.91853796,28689674
01,J,2006-01-21 16:38:00,2006-01-21,16:38:00,,200601002686,2700 BLOCK WOLF ST,400,28745185,Aggravated Assault Firearm,-75.19064713,39.92423401,28692198
01,J,2006-01-22 08:31:00,2006-01-22,08:31:00,,200601002776,S 24TH ST /W PASSYUNK AVE,400,28742985,Aggravated Assault No Firearm,-75.18727237,39.92226385,28689998
